LFPR,unemployment_rate,salary_expectation
37.24,17.51,7839
31.13,31.97,21199
41.45,25.26,23602
33.34,29.01,44156
38.43,16.47,34291
60.41,23.89,21368
54.25,20.57,21112
56.06,22.05,9465
60.14,27.13,49522
41.98,22.66,34151
42.69,21.55,19772
61.54,27.91,10390
65.61,25.41,33763
39.09,22.11,41256
41.82,19.74,35420
38.8,20.75,49583
27.3,32.11,28736
41.06,17.97,15253
38.9,22.41,43216
36.62,15.94,22778
51.36,23.5,29311
56.83,16.94,7336
35.02,24.93,10491
48.78,16.37,7054
57.3,22.07,42827
63.86,15.07,19691
40.52,28.73,21428
38.69,21.0,24307
56.1,14.18,41262
41.89,32.77,43405
28.92,17.14,33653
43.32,15.11,6209
44.39,22.82,43714
30.62,14.69,17738
52.15,14.13,8568
55.57,27.39,45154
47.43,16.61,6658
50.81,21.14,24408
24.39,25.18,37524
49.75,23.5,15012
38.03,11.28,47070
51.09,18.52,37711
35.92,23.62,19018
47.61,23.68,49838
49.83,12.91,25351
57.66,17.23,24173
45.44,23.2,12046
51.76,14.82,13695
45.86,17.01,41271
52.99,15.45,22467
23.93,31.45,21714
38.08,23.68,27934
41.31,26.03,7934
48.12,32.39,19128
40.06,17.4,19119
58.17,16.2,34877
39.93,16.5,44778
64.64,13.69,12828
40.64,24.15,47524
33.92,17.86,11917
22.55,22.25,18638
66.14,26.82,29613
57.19,35.73,30212
30.38,22.82,17547
58.76,9.83,28492
32.5,17.37,45979
34.69,13.66,16115
64.72,18.28,33043
40.68,15.73,47758
64.8,34.54,47469
28.31,31.4,42537
54.49,13.56,42596
39.84,23.75,37005
58.9,18.39,49991
28.79,9.76,21786
54.29,17.98,46319
51.41,29.83,15276
51.57,30.07,26934
45.12,21.19,49363
41.62,25.44,44267
32.39,20.19,33245
47.78,18.49,46609
55.4,29.6,19099
51.15,12.63,8589
46.62,17.54,10618
50.88,18.69,6311
28.57,22.23,30651
44.18,26.89,23462
42.37,13.12,25045
49.45,22.94,31911
43.47,17.78,49535
60.72,32.22,36048
43.57,16.51,12352
56.72,15.33,18540
64.45,19.63,24510
66.71,11.76,15872
42.55,20.14,26156
38.87,16.55,19294
53.27,14.55,28776
51.13,16.79,17187
56.07,31.57,37002
36.42,20.04,10552
44.21,16.95,47818
29.65,16.3,17434
28.95,22.03,18894
39.65,17.8,39767
64.73,19.14,30796
59.71,16.83,6839
38.93,20.35,22423
45.52,19.02,11961
37.21,23.92,8710
65.96,14.89,18591
33.18,18.94,12103
32.45,26.91,31961
46.1,19.62,45447
33.19,31.18,6719
39.1,34.81,45938
33.94,30.65,27819
41.53,19.95,33356
39.02,18.89,10541
45.76,25.25,43830
67.33,12.33,7605
41.17,23.3,10208
40.8,31.32,13686
34.36,21.37,45904
53.84,27.71,7740
37.94,21.46,24640
44.79,28.68,25859
54.49,24.35,37583
28.43,32.92,28101
65.82,14.25,12209
45.79,32.65,34077
56.43,21.74,36583
60.5,19.69,7275
58.62,24.08,19239
49.79,22.3,48861
43.2,24.27,41185
47.24,20.69,22914
45.87,22.97,12754
55.39,16.58,11266
45.45,20.24,10016
40.12,28.91,22140
33.08,30.62,21098
33.07,16.32,45538
33.15,20.74,45194
50.55,20.03,33047
31.28,26.76,44035
38.67,36.41,16647
49.5,14.07,8433
42.7,18.12,20161
56.98,27.65,17839
34.7,18.98,10480
53.59,14.04,27854
44.0,19.45,23690
64.27,22.08,12907
44.31,13.08,43717
31.93,22.62,22309
50.89,17.9,27606
65.69,29.41,14017
35.6,20.97,49846
61.72,33.3,30300
54.24,10.27,6701
58.8,26.98,35480
41.77,30.46,26930
44.09,12.43,14063
42.28,27.87,24608
66.4,24.61,27538
54.67,16.98,22283
40.82,24.91,13671
45.74,19.78,26668
39.34,22.41,24103
52.8,32.59,35321
64.83,14.05,46930
39.8,26.86,17215
40.63,19.85,35153
47.82,19.65,17792
33.23,9.96,49339
32.76,23.56,15683
48.06,16.58,22325
39.8,24.1,36476
54.04,24.53,25862
63.44,23.7,26523
51.91,14.16,42731
32.98,19.89,17712
51.09,19.52,7834
51.47,23.82,28901
44.56,24.19,9139
44.48,18.92,23236
43.6,30.1,6620
37.27,29.13,42263
34.16,15.85,36835
56.69,20.71,44248
64.3,14.81,8149
52.74,18.08,46821
36.74,16.93,31058
37.48,34.72,28606
44.05,25.27,41285
33.74,17.76,34608
45.71,29.13,46900
35.55,25.88,44433
54.17,25.87,40898
33.74,26.59,38075
57.72,17.68,20867
32.56,16.58,19363
36.67,27.74,46486
36.41,25.72,46046
39.36,22.43,23514
31.91,29.25,30921
38.31,32.25,28088
37.51,29.4,14739
49.29,17.97,20384
33.47,13.91,10943
57.45,18.77,31531
32.57,15.29,26698
58.71,25.67,11191
44.41,22.18,32174
29.66,33.33,24414
28.62,26.32,29360
42.5,15.44,38207
64.41,29.74,42975
42.43,17.71,23919
46.84,16.61,13486
43.56,28.9,41742
52.6,27.61,47177
37.54,24.29,16319
42.19,16.17,29551
49.93,11.15,8078
43.31,25.77,34462
46.86,29.49,34013
32.77,17.43,34301
45.96,21.87,27838
40.7,17.93,6992
42.15,18.91,15543
39.89,34.14,6481
23.87,25.11,30407
43.22,31.09,49277
53.43,20.15,27338
46.24,21.88,21484
42.62,17.05,43633
44.36,24.86,26539
56.34,35.55,6531
32.69,30.42,43928
57.26,22.19,13545
22.22,34.58,44769
29.2,33.71,33920
56.42,20.51,37341
44.13,23.75,26366
32.02,19.88,9732
57.84,29.24,29863
66.97,25.88,39292
38.34,25.52,47811
47.24,15.46,13975
48.01,20.52,37017
42.78,16.03,24549
49.69,22.14,37466
60.01,21.73,8547
59.91,11.97,13182
54.94,22.05,27940
60.6,30.24,49315
47.63,17.17,21005
43.36,27.25,26805
37.51,26.17,22078
44.39,22.51,29399
48.43,26.55,25249
55.66,22.34,39318
38.19,14.16,19751
43.62,14.69,45271
49.44,26.86,8425
30.97,32.56,8377
37.15,15.97,35475
47.76,15.32,36057
38.3,25.46,45011
36.79,18.78,30257
59.89,23.71,37190
45.42,16.05,24120
52.4,17.63,10603
32.32,33.35,40751
62.88,10.96,44649
62.46,16.97,38512
42.63,31.02,17595
35.62,18.32,39335
60.85,23.38,26122
54.57,22.54,46208
42.41,26.63,21545
41.06,25.31,5948
47.63,26.0,16130
41.46,24.89,44026
58.59,31.7,17981
53.79,21.48,9361
34.95,24.48,20765
48.87,27.6,48442
41.8,18.05,46856
58.91,18.59,29086
43.67,22.35,18607
53.94,30.18,9284
45.15,17.3,31428
53.16,13.02,15509
61.54,31.62,19652
41.73,38.09,33532
43.53,21.39,47168
54.23,20.12,44693
50.05,33.72,33031
23.64,20.54,45025
57.34,30.8,10146
50.64,33.21,20543
48.95,23.57,34171
44.32,16.37,27823
38.69,27.23,39797
47.64,16.81,10497
53.4,21.67,42025
52.38,17.93,13038
52.85,13.6,13003
29.48,22.63,21845
56.25,22.01,21172
61.99,9.57,16579
65.21,13.73,24478
49.94,28.67,11335
40.62,21.29,10581
40.29,24.64,19954
26.73,11.81,41863
57.56,37.96,15281
53.82,32.23,36346
38.79,21.79,14681
58.91,27.05,44173
42.49,8.85,27472
35.97,13.05,25394
65.99,18.72,25717
43.07,16.95,19832
56.13,28.7,22469
58.56,26.86,49388
49.8,20.15,11692
25.54,33.43,17520
49.23,20.24,7062
58.2,16.07,36072
34.85,12.26,28321
62.23,12.89,18074
39.78,14.02,35071
47.72,31.92,25599
43.96,13.63,46152
23.85,14.46,27621
32.67,30.52,9524
56.25,19.25,42854
57.68,32.59,47364
41.17,23.78,5619
36.46,28.89,23133
36.21,26.87,11221
42.58,28.06,17441
46.72,28.78,5760
33.21,32.61,5295
40.49,18.23,49219
66.96,35.59,25295
40.29,19.4,12316
40.38,21.56,38247
33.87,29.66,19452
53.33,16.89,17481
51.2,19.88,22043
58.63,32.11,33853
64.13,32.12,37992
61.8,24.13,39002
52.38,19.41,30338
64.68,34.51,42223
54.61,22.62,40080
32.96,23.58,27593
57.21,16.79,18511
34.11,25.54,22666
49.59,17.29,42702
41.93,32.38,11956
40.84,23.12,22614
28.24,22.35,29279
55.1,13.21,20186
65.99,12.99,20264
28.12,22.41,11388
46.12,17.41,25867
48.02,29.1,32283
39.58,26.71,29765
60.8,23.93,34001
52.3,28.46,36930
49.64,18.25,40558
49.76,17.65,19402
43.76,24.68,38317
42.79,16.41,21995
28.83,27.97,30785
56.13,13.6,43835
49.76,25.61,42655
52.75,30.56,47378
38.34,26.3,39393
44.49,33.68,13896
30.95,14.09,41706
52.99,30.41,46262
65.17,24.53,11580
30.5,27.72,10907
55.94,26.84,42335
54.07,33.24,47701
42.01,15.78,48079
39.1,19.05,45305
31.6,21.5,5008
44.6,21.93,18722
31.13,19.82,32055
30.18,25.05,49759
63.22,18.43,31573
41.67,22.31,13138
47.94,12.99,30911
47.17,31.77,23323
59.75,31.66,17682
29.76,18.4,34708
39.55,28.05,36742
45.23,16.99,37866
44.69,23.46,9180
44.01,27.17,36373
31.71,18.07,28983
44.59,29.97,13947
34.83,16.78,20836
36.72,19.44,21903
39.32,25.84,37601
43.73,18.59,49864
40.32,23.73,27487
48.94,22.23,10809
44.59,17.67,9669
57.47,21.45,23948
61.16,30.52,27596
42.45,26.47,21267
40.93,24.15,26400
52.29,30.19,44645
31.57,16.52,22555
39.75,28.45,21693
39.09,18.71,18421
41.14,25.99,20465
37.95,26.07,40624
59.04,27.91,5468
65.98,27.83,13143
45.56,21.07,31632
46.52,15.55,10301
43.83,16.43,16506
64.58,23.69,7428
39.92,12.37,29379
47.39,18.39,23560
51.38,24.84,17102
40.95,24.01,36361
40.76,22.37,27285
61.82,33.45,5444
62.8,12.22,27147
36.83,16.73,42812
37.46,37.24,24024
29.33,27.41,27088
28.41,25.59,47838
57.33,25.45,19357
59.29,18.64,42891
44.66,27.42,19757
32.78,21.03,12838
41.22,31.7,25334
57.29,27.82,8638
57.6,25.11,23064
43.31,21.21,33792
43.1,29.39,47586
40.32,15.8,21522
53.89,26.9,41469
49.65,13.19,9204
34.26,37.22,5066
39.82,19.44,7619
52.96,32.39,31077
46.46,30.57,26868
56.69,24.02,41914
33.91,19.08,46909
54.21,17.91,15229
54.94,27.38,31768
52.92,27.15,48338
46.21,18.07,25080
47.15,33.64,42946
26.63,24.78,49185
47.1,30.05,49219
57.88,14.38,37820
45.19,26.76,27869
45.05,20.45,17837
46.78,22.85,37252
60.02,28.13,37605
43.0,19.89,28138
36.27,30.53,24055
60.85,25.22,23117
32.09,27.98,21219
52.51,14.55,25431
34.13,24.03,36653
61.85,31.25,6718
43.38,18.45,47151
55.3,15.26,18554
37.67,28.14,16259
39.3,24.57,16137
50.28,31.68,17430
45.81,33.03,21436
34.94,31.01,43804
43.4,28.32,47143
54.96,19.54,46368
42.43,18.52,5980
57.47,21.55,37044
28.71,16.6,47645
59.08,11.83,41177
54.85,27.6,28724
41.3,30.91,20061
37.94,14.68,25258
36.87,26.93,8194
46.93,17.73,39594
33.17,17.77,20445
23.92,17.38,34035
37.87,32.49,42878
56.97,27.0,38484
66.77,19.89,43421
54.55,12.32,19962
33.26,28.95,24860
45.96,30.53,7632
40.89,17.37,24055
43.5,30.54,22957
50.55,27.15,12029
36.92,31.66,38454
67.47,14.98,24726
52.86,15.91,7179
48.9,23.12,39024
28.41,23.15,49042
37.49,13.08,17225
38.71,17.23,8465
52.3,26.98,18823
36.5,30.91,39619
51.69,22.3,23034
34.92,22.4,48192
36.48,12.93,42491
40.68,26.02,12662
43.37,18.3,32442
47.25,25.0,14749
53.4,23.65,47108
39.33,22.6,32476
33.26,19.95,17368
60.85,13.43,18049
29.2,13.75,43131
47.79,19.66,35494
62.42,24.08,30699
53.65,21.62,32522
38.33,19.75,11241
46.8,15.12,42899
60.27,24.83,36565
43.95,33.76,18639
51.51,24.66,44172
30.11,21.3,34790
36.48,21.72,9040
42.21,18.06,28097
29.1,21.05,25754
50.48,14.56,24841
46.08,19.49,46133
44.97,13.69,19573
40.43,16.03,32491
60.03,31.35,7691
55.79,25.66,28860
50.11,12.33,11074
33.56,30.52,15164
37.98,30.2,17378
57.97,16.33,32756
46.56,32.73,46867
31.14,18.8,7565
47.27,17.12,10641
28.38,23.81,45050
42.89,29.14,24908
50.43,13.91,28936
58.37,16.54,43586
54.63,18.96,25494
37.12,25.83,10170
37.71,32.54,45064
54.15,22.44,41704
28.32,20.38,16019
57.39,21.03,44077
42.18,27.44,18316
67.0,17.95,47131
29.56,18.89,24046
53.43,9.03,20485
52.13,17.53,16102
27.75,30.59,21538
48.21,29.43,8715
32.78,14.25,44264
50.46,18.82,12478
58.32,26.13,28793
64.65,20.96,9185
67.38,31.05,26012
65.83,21.15,23775
48.84,16.11,24678
33.1,22.92,24370
45.37,20.89,43408
30.63,29.22,9316
27.17,28.3,38881
60.27,16.2,15148
61.06,16.85,35998
41.99,21.32,11429
61.33,17.89,24332
40.56,32.22,16769
45.92,32.75,16049
43.71,28.83,40988
57.07,22.08,30424
53.73,23.74,32176
48.76,37.9,31978
40.36,27.47,18271
41.77,12.83,17455
45.02,13.24,43680
34.62,26.44,34149
43.14,24.26,18282
49.87,14.95,14691
54.86,17.04,37313
40.96,27.74,46342
43.44,15.46,20123
48.17,20.0,23832
45.29,19.59,28693
25.13,31.48,33901
32.6,21.46,41816
44.63,33.32,22282
48.08,32.3,10623
55.1,26.01,25680
50.56,12.95,44601
35.42,9.85,12543
49.18,15.2,23987
49.49,18.64,43700
34.85,16.1,6342
40.47,16.47,27071
58.93,18.3,10490
37.19,19.05,46974
47.37,29.84,25234
50.36,18.8,33357
42.0,14.74,42683
41.65,20.66,16431
40.59,21.41,7945
38.0,30.93,14773
30.34,17.13,20300
49.76,20.3,5153
55.11,16.79,8523
37.31,22.35,13982
44.64,29.43,20738
65.09,11.22,41338
45.96,15.1,9793
51.43,30.04,19193
54.26,16.39,19170
58.76,21.2,5190
39.54,13.89,32983
38.81,14.91,9072
53.95,28.8,24298
35.0,14.69,16884
37.82,27.96,11466
35.57,20.91,23997
45.67,25.1,29348
59.59,24.25,46644
32.7,14.96,15559
36.45,14.79,25786
49.96,21.94,8645
23.79,37.39,23248
39.96,21.7,47000
31.37,19.3,32421
58.69,16.23,36342
48.83,20.98,47555
51.87,21.92,41855
61.53,26.24,34552
42.38,34.71,32250
28.14,21.1,38439
33.32,26.67,16745
47.9,11.21,15862
37.94,22.42,19628
46.31,26.61,29256
55.97,31.53,44485
41.63,24.53,31223
30.61,22.66,30492
56.42,30.09,19505
42.34,14.35,8098
50.5,17.3,32158
41.41,37.62,18198
42.84,24.93,18264
39.44,20.63,42999
54.17,19.82,27628
61.39,24.23,35996
22.47,26.26,46897
48.93,18.12,46124
56.76,12.96,17417
37.61,19.77,33184
33.62,31.27,9730
58.97,21.12,5870
44.42,23.49,41871
39.75,32.82,23821
36.18,17.02,22418
50.37,19.11,43713
41.45,18.91,45354
50.88,29.15,46270
45.6,30.07,48158
39.16,32.23,21811
40.87,18.33,11952
53.79,15.76,26758
56.23,18.52,14897
35.55,18.52,42712
44.47,12.61,34056
51.03,15.28,21158
42.21,28.75,10135
50.55,32.72,12898
54.46,20.51,38421
41.35,23.66,14137
46.03,26.9,40542
58.96,31.66,20634
60.11,14.37,30071
52.86,21.67,42171
48.65,17.25,19769
39.71,22.1,39689
52.18,16.21,5745
41.2,17.44,42432
49.12,16.91,8747
49.47,21.66,32391
59.04,18.66,7098
41.72,26.96,24991
60.54,21.5,29202
62.37,32.8,46212
50.73,32.47,37023
36.49,20.79,34662
53.53,26.37,21427
23.93,31.76,48794
45.44,25.86,27390
35.48,24.16,41839
28.57,19.36,44580
25.6,24.49,45768
47.89,27.18,27310
43.92,31.33,40288
43.67,27.94,41646
50.83,22.89,31988
36.13,21.44,13063
42.29,30.07,11940
46.96,19.12,33251
37.59,24.86,33361
43.28,23.56,17675
57.5,11.51,31805
50.52,28.07,11515
60.75,19.22,36300
64.31,25.95,32525
61.74,26.71,36336
47.2,21.44,13330
38.2,15.92,23599
23.0,11.74,29373
60.73,13.35,25590
39.5,15.39,27435
42.34,29.93,9521
32.05,32.16,35114
24.31,30.16,25883
33.78,35.04,34126
27.84,20.71,33484
57.63,27.25,15604
55.64,29.34,42383
54.32,16.95,37489
56.6,18.18,16894
57.7,16.5,16347
52.14,20.94,36466
59.14,21.92,10136
54.08,23.35,8182
52.51,28.13,6204
35.28,21.49,24685
33.46,31.79,25143
36.91,32.71,20701
24.19,31.38,32926
46.96,22.59,38879
47.31,27.8,22976
46.07,24.77,29489
61.69,16.06,19495
46.31,31.5,11942
45.18,14.15,20751
33.24,17.69,32380
63.35,12.4,43128
36.63,25.99,42110
58.48,23.2,21127
27.56,12.84,27660
67.43,18.31,48498
38.34,18.08,18590
51.07,19.99,10543
38.45,28.3,48007
39.0,21.76,26662
32.31,29.53,20325
36.87,30.06,23004
47.56,35.44,15276
51.77,16.74,16336
63.06,30.75,19198
60.06,31.65,35835
44.05,19.97,16327
44.05,30.35,14468
44.5,21.91,43054
65.74,16.3,8562
60.58,14.27,9343
47.64,23.17,29648
37.32,22.21,6058
42.37,13.74,12945
44.57,23.79,47614
59.31,32.11,31887
44.69,22.41,46426
60.28,24.3,23651
42.52,28.25,5811
60.35,12.99,14218
51.95,28.78,19324
33.72,26.63,43629
42.34,18.28,11196
64.44,13.76,30874
46.15,23.8,41839
36.75,23.78,44652
47.86,20.57,20388
32.56,31.68,43596
56.04,17.08,34338
32.99,25.5,34480
47.17,33.5,14098
45.74,17.66,11539
48.3,22.07,48261
46.26,15.2,18578
36.21,12.63,9223
43.65,18.16,31083
30.61,35.35,8949
51.9,13.46,40070
56.79,18.54,31776
49.78,26.32,37820
33.64,27.64,15834
27.66,43.22,43851
33.75,27.51,19592
55.77,22.91,5948
47.71,13.21,15343
41.14,15.33,20924
56.55,13.38,45918
51.96,31.15,17004
30.92,16.56,23183
44.94,19.19,31042
43.78,21.72,13651
53.78,24.35,22001
55.14,12.39,42227
54.27,18.19,14418
47.88,14.46,38430
48.07,30.36,38204
38.08,10.96,32611
42.18,31.76,23077
34.03,27.13,44611
61.58,16.09,22011
59.58,20.27,9574
47.49,27.44,10928
59.5,17.69,26924
49.37,13.66,13999
57.24,20.66,25097
32.18,13.09,19988
61.39,17.82,33428
58.69,16.17,42658
50.42,24.05,27695
47.33,23.25,19639
35.85,26.45,35045
38.01,22.55,40707
26.71,29.2,13139
46.43,21.13,7610
40.09,24.04,48299
38.76,18.09,18945
50.41,13.97,37712
31.47,17.63,38481
30.79,17.7,12792
31.79,14.07,34644
47.13,17.73,25351
26.2,22.01,15630
56.1,13.0,34536
56.14,24.93,45533
40.66,26.61,28680
54.05,24.65,21194
37.31,12.54,15221
33.26,25.39,29057
46.94,25.47,18500
47.4,27.99,12043
28.16,17.57,36848
61.63,19.5,34569
51.58,19.25,26680
29.64,29.08,30088
49.39,16.52,29359
58.34,21.53,40366
50.61,25.31,46455
35.75,27.04,14861
58.24,17.27,18363
45.98,31.61,11567
53.59,17.0,22264
63.91,27.57,40667
44.99,17.65,29162
33.07,19.75,14976
39.46,25.0,45892
22.78,21.73,34570
56.64,22.45,11226
49.11,22.65,42705
25.44,12.7,8185
64.5,17.03,42220
57.79,17.44,41636
48.57,18.02,20634
40.75,22.95,37812
39.08,29.28,43729
31.89,16.81,24451
50.03,27.96,25104
30.04,20.7,45976
37.96,21.54,45941
50.84,17.12,11544
32.84,13.67,32277
39.45,25.77,36961
49.54,24.46,33888
41.54,31.26,17359
51.04,10.45,14769
59.41,26.32,49508
42.91,23.58,21112
60.83,21.97,6194
58.0,18.17,43353
54.28,18.89,23211
38.16,23.18,18264
34.83,18.7,46893
27.57,23.93,45236
32.96,9.72,27370
30.23,19.2,15524
52.53,15.64,24936
49.36,18.08,9548
55.76,26.56,42042
38.92,20.09,24540
52.23,30.16,15635
53.31,23.02,49315
38.46,22.14,29845
48.85,11.67,46542
33.07,19.96,16783
42.28,20.89,46197
41.07,18.31,18376
38.6,38.09,12649
53.32,20.19,16635
57.16,15.97,6402
32.02,20.97,32613
59.35,37.89,19267
52.6,12.09,6639
60.67,12.14,27091
34.02,18.56,48314
35.22,29.16,5665
31.01,18.41,31755
53.56,22.62,20164
51.2,18.9,46580
44.87,21.57,45615
56.69,27.39,9558
49.38,19.77,27548
43.99,24.01,30816
50.74,18.04,38302
36.37,25.91,29961
56.25,27.43,8831
48.09,37.53,46637
42.97,27.95,5203
53.74,30.36,34154
52.12,31.9,30262
26.28,17.4,24085
47.16,29.08,14564
56.93,24.66,30951
44.18,26.24,32815
59.84,31.75,19622
27.01,22.86,44454
33.68,28.62,33030
56.65,20.51,43323
35.73,17.94,11606
35.37,29.79,34456
31.34,23.77,41631
39.82,14.34,43326
49.11,30.91,26848
48.62,18.6,29739
55.22,19.32,25604
45.29,27.19,21595
54.27,22.11,9521
61.8,26.42,41940
57.14,28.32,16203
38.88,19.74,21884
33.75,39.59,33598
39.36,18.76,47536
67.8,23.16,29789
30.72,30.23,13457
52.98,16.56,36975
33.64,27.18,15304
44.58,16.78,37643
48.04,34.87,40231
36.12,19.66,41627
60.54,26.19,45021
43.43,16.43,35954
34.49,24.93,26499
43.38,9.32,39966
50.43,18.46,40404
49.16,19.31,48827
49.47,17.4,10729
53.03,17.87,43692
43.37,16.04,18175
56.48,31.47,34940
63.31,28.35,41323
51.6,16.6,37290
66.62,19.39,14511
56.42,30.74,22474
33.37,23.65,20100
56.47,15.31,32977
46.5,21.87,48677
39.04,31.59,13063
38.04,23.09,13155
59.82,33.85,42287
61.5,34.91,14371
56.06,22.53,48508
38.35,29.74,20342
28.2,27.8,35930
43.69,17.86,35956
67.87,15.52,23061
38.98,16.4,6935
53.22,17.32,37561
58.03,29.96,37149
47.12,33.47,40708
62.83,13.28,26667
26.65,27.87,23461
46.09,15.36,35405
35.44,16.73,36252
55.36,19.28,49609
56.73,25.62,10342
41.94,24.46,47194
52.85,21.95,17353
43.68,21.14,47185
41.3,13.2,5020
44.49,19.0,25178
28.85,20.89,14196
66.31,26.71,25004
53.55,15.02,33286
40.6,17.34,5408
35.23,18.32,40777
40.65,17.12,5699
55.28,29.7,39962
32.95,25.38,41782
54.51,22.19,13323
44.39,24.59,37605
55.57,13.11,49043
42.12,14.57,46257
45.08,27.72,34108
39.47,40.03,14726
37.47,17.3,36551
46.82,21.56,28287
46.12,29.79,27462
61.5,21.29,32627
28.44,13.35,37785
38.71,33.45,45111
53.68,18.76,21570
36.89,23.24,27777
51.83,15.8,45593
41.53,21.78,42254
38.56,19.13,31054
56.16,21.12,26335
34.84,20.91,19899
56.26,31.73,5228
53.65,23.57,8862
48.66,31.6,7720
54.68,17.86,13394
61.23,31.77,36910
33.67,25.22,37194
33.9,24.75,21369
59.24,19.08,21840
39.86,14.85,30456
46.13,20.34,27567
50.93,29.92,25694
43.5,25.72,26567
42.14,18.69,30535
55.72,24.85,26157
41.3,27.47,30160
54.0,23.66,10303
50.22,31.97,47779
45.1,17.83,10561
26.72,21.89,36957
39.76,29.19,47252
42.97,17.32,6021
48.1,17.67,8706
45.76,14.15,46085
59.15,26.81,46739
36.3,20.21,30503
41.01,13.09,31122
55.06,19.88,32237
64.54,15.9,44853
32.15,29.97,11722
58.35,25.34,16898
51.68,32.39,6331
59.13,28.63,47765
39.41,26.59,47183
61.66,27.44,15981
48.01,25.11,34256
37.24,18.13,35333
49.82,24.97,42437
56.13,21.83,35014
42.36,19.67,7209
38.13,19.73,34832
40.08,35.91,40568
22.03,18.32,35072
49.97,16.41,31988
27.15,23.54,25957
57.15,14.3,44486
36.5,24.22,9037
34.14,11.19,38310
34.15,10.56,43436
38.23,22.35,11927
46.45,29.61,32017
61.25,16.66,6226
61.43,13.58,25446
46.75,17.95,40721
41.67,29.97,10781
28.72,25.2,19308
60.65,31.99,12082
60.2,32.16,41839
30.32,15.39,41414
54.23,19.97,21063
39.19,24.98,16929
28.02,32.43,31226
38.51,21.94,5991
44.15,26.91,45612
49.28,17.04,35947
51.76,21.34,42306
60.38,29.56,49471
51.12,28.71,25188
30.84,20.63,37204
32.59,17.3,22300
47.36,25.13,29492
32.78,26.25,45911
36.42,31.63,21834
47.08,25.82,28752
52.91,26.96,31451
48.03,24.54,47861
54.05,29.56,19865
53.01,20.27,29914
32.7,24.08,31919
34.66,22.88,20086
62.47,20.39,17481
34.07,23.29,35170
55.53,24.18,6553
60.98,29.02,43347
38.82,12.96,14587
39.46,18.87,13001
37.64,20.24,49203
48.2,16.27,35977
57.08,5.19,14171
64.63,26.86,38971
64.84,25.68,41553
65.96,23.16,38106
54.79,21.56,32698
67.25,14.96,19421
49.65,20.0,42063
59.16,15.38,46195
48.27,19.8,35958
46.52,25.62,22479
32.46,29.51,48335
61.13,26.55,12371
54.69,20.6,38755
32.95,14.65,10135
36.12,28.49,33123
39.33,39.13,33556
33.1,29.04,37406
32.51,33.88,29743
42.31,22.85,15949
45.49,9.87,37794
29.09,18.7,18876
31.02,29.33,49021
44.16,17.12,48650
49.33,13.0,6048
40.06,13.73,19388
46.52,16.9,15804
33.16,22.21,11249
44.9,25.4,23960
34.27,15.47,47194
49.59,31.42,47565
57.47,25.22,35848
41.53,10.76,26685
59.55,19.63,41899
36.09,18.67,38422
55.25,28.64,27158
48.84,25.29,43767
59.5,18.73,10078
46.86,24.1,15627
59.98,14.42,16066
46.87,23.49,44394
32.59,20.03,42908
49.68,14.92,32835
59.43,26.98,42774
41.37,17.71,7791
25.38,33.93,9238
22.2,25.73,24836
55.03,20.73,29079
43.02,14.8,22053
55.62,22.5,35837
56.08,23.65,10697
49.55,17.59,44484
43.22,18.56,29006
32.1,20.01,42424
33.67,25.61,18185
33.28,16.2,19984
30.06,23.89,44233
43.26,15.04,42757
54.72,17.16,43905
53.67,25.59,5623
67.3,22.02,23179
33.74,29.1,37667
34.03,13.21,13398
44.06,19.89,39635
23.37,24.1,26864
41.53,14.49,17129
40.0,33.19,46521
54.61,21.47,22446
38.53,11.65,30863
40.13,18.23,24974
50.54,30.43,26558
50.74,37.41,8722
36.72,28.97,28126
38.48,17.84,22225
31.73,21.23,8555
43.73,34.51,47638
53.0,15.64,5037
29.49,22.18,44443
46.92,26.46,21954
41.5,22.82,14584
59.22,35.51,6370
57.43,13.57,38191
59.19,16.87,28925
54.51,19.24,13725
54.28,18.11,26261
55.25,13.94,47509
37.63,33.1,21067
52.24,26.92,29079
46.24,20.16,36658
38.71,36.34,42340
53.56,17.83,26125
36.9,19.6,40845
58.92,37.89,14658
50.63,28.98,7796
47.82,17.13,25424
45.88,18.7,24171
51.55,15.2,5409
57.56,25.65,17701
43.95,21.74,44410
59.82,12.61,25136
31.26,26.99,17484
39.35,26.22,6515
49.29,28.33,34863
39.46,15.39,19470
62.8,19.89,47890
51.82,16.46,11437
48.65,13.63,38835
54.1,28.71,9665
50.04,15.45,46002
51.78,40.1,49662
53.97,17.81,34423
32.97,30.32,24252
52.12,14.51,47566
45.42,36.77,42938
49.66,23.79,10068
36.45,15.35,40623
30.1,24.51,17613
50.38,10.97,25402
34.9,21.82,48323
35.11,35.05,42109
61.51,22.28,12558
43.31,19.88,47109
49.54,20.91,38970
49.01,22.26,18063
59.05,15.21,46864
34.3,22.72,49198
50.78,26.24,19400
53.09,31.61,21883
35.7,19.53,36737
57.11,15.82,26004
60.97,21.12,48753
45.39,28.28,38814
44.63,38.35,41807
46.23,19.17,17235
49.5,22.22,25993
67.26,21.21,43681
28.41,32.36,8558
49.21,26.44,32500
41.51,24.53,47876
59.38,25.06,30788
46.9,20.25,33236
22.15,20.84,43312
54.27,22.19,7031
40.19,16.87,18079
31.7,30.79,38769
28.23,18.11,6293
52.83,23.21,20016
43.66,15.56,11164
43.17,19.42,46016
58.43,27.77,43948
45.59,25.37,44131
